Metodo,Tempo de Execucao (ms),Consumo de Memoria (KB),Versao do Java
mergeSort,27.943923,1784,openjdk version '20.0.2'
mergeSort,19.476599,731,openjdk version '20.0.2'
mergeSort,9.885121,736,openjdk version '20.0.2'
mergeSort,12.708745,727,openjdk version '20.0.2'
mergeSort,9.39334,710,openjdk version '20.0.2'
mergeSort,8.738319,706,openjdk version '20.0.2'
mergeSort,8.813141,1150,openjdk version '20.0.2'
mergeSort,5.51669,4675,openjdk version '20.0.2'
mergeSort,6.104529,727,openjdk version '20.0.2'
mergeSort,6.135514,714,openjdk version '20.0.2'
bubbleSort,1223.267379,27836,openjdk version '20.0.2'
bubbleSort,1040.282035,47356,openjdk version '20.0.2'
bubbleSort,1184.717712,58611,openjdk version '20.0.2'
bubbleSort,915.318405,3341,openjdk version '20.0.2'
bubbleSort,924.575495,123057,openjdk version '20.0.2'
bubbleSort,933.12026,14595,openjdk version '20.0.2'
bubbleSort,905.189515,18681,openjdk version '20.0.2'
bubbleSort,1100.172388,7425,openjdk version '20.0.2'
bubbleSort,845.112978,19710,openjdk version '20.0.2'
bubbleSort,943.207388,6406,openjdk version '20.0.2'
