Metodo,Tempo de Execucao (ms),Consumo de Memoria (KB),Versao do Java
bubbleSort,908.9164,1313,openjdk version '20.0.2'
bubbleSort,1014.8403,1401,openjdk version '20.0.2'
bubbleSort,1098.3967,1401,openjdk version '20.0.2'
bubbleSort,1556.0821,1401,openjdk version '20.0.2'
bubbleSort,839.1237,1401,openjdk version '20.0.2'
bubbleSort,965.3087,1401,openjdk version '20.0.2'
bubbleSort,877.1411,1401,openjdk version '20.0.2'
bubbleSort,842.9719,1401,openjdk version '20.0.2'
bubbleSort,840.9225,1401,openjdk version '20.0.2'
bubbleSort,821.7042,1401,openjdk version '20.0.2'
mergeSort,97.1097,3997,openjdk version '20.0.2'
mergeSort,3.1293,3642,openjdk version '20.0.2'
mergeSort,3.1405,3695,openjdk version '20.0.2'
mergeSort,3.1746,3722,openjdk version '20.0.2'
mergeSort,3.1156,3683,openjdk version '20.0.2'
mergeSort,3.1595,3642,openjdk version '20.0.2'
mergeSort,3.1713,3646,openjdk version '20.0.2'
mergeSort,3.1274,3646,openjdk version '20.0.2'
mergeSort,9.6951,3646,openjdk version '20.0.2'
mergeSort,3.1184,3646,openjdk version '20.0.2'
